Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Yes,Store: Consent
3,1732029330423,19/11/2024 15:15:30,1732011330423,-5,19/11/2024 05:15:30,196386,5,questionnaire-f8mc,,41461486,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x820,Headphone Check Pass,,0,Consent_Form_UNC,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
4,1732029330423,19/11/2024 15:15:30,1732011330423,-5,19/11/2024 05:15:30,196386,5,questionnaire-f8mc,,41461486,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x820,Headphone Check Pass,,0,Consent_Form_UNC,5,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,END,26349,,,,,,
1,1732030461207,19/11/2024 15:34:21,1732001661207,-8,18/11/2024 23:34:21,196386,5,questionnaire-f8mc,,41462198,BLIND,12102530,,complete,,673caf24ad7257a97a84d1de,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Headphone Check Pass,,0,Consent_Form_UNC,5,CB3,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732030515832,19/11/2024 15:35:15,1732001715832,-8,18/11/2024 23:35:15,196386,5,questionnaire-f8mc,,41462198,BLIND,12102530,,complete,,673caf24ad7257a97a84d1de,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Headphone Check Pass,,0,Consent_Form_UNC,5,CB3,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
3,1732030515833,19/11/2024 15:35:15,1732001715833,-8,18/11/2024 23:35:15,196386,5,questionnaire-f8mc,,41462198,BLIND,12102530,,complete,,673caf24ad7257a97a84d1de,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Headphone Check Pass,,0,Consent_Form_UNC,5,CB3,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
4,1732030515833,19/11/2024 15:35:15,1732001715833,-8,18/11/2024 23:35:15,196386,5,questionnaire-f8mc,,41462198,BLIND,12102530,,complete,,673caf24ad7257a97a84d1de,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Headphone Check Pass,,0,Consent_Form_UNC,5,CB3,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,END,54582,,,,,,
1,1732030670082,19/11/2024 15:37:50,1732012670082,-5,19/11/2024 05:37:50,196386,5,questionnaire-f8mc,,41462321,BLIND,12102571,,complete,,673cb09cbc43c3afae56c6ae,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,Headphone Check Pass,,0,Consent_Form_UNC,5,CB36,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732030803906,19/11/2024 15:40:03,1732012803906,-5,19/11/2024 05:40:03,196386,5,questionnaire-f8mc,,41462321,BLIND,12102571,,complete,,673cb09cbc43c3afae56c6ae,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,Headphone Check Pass,,0,Consent_Form_UNC,5,CB36,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
3,1732030803906,19/11/2024 15:40:03,1732012803906,-5,19/11/2024 05:40:03,196386,5,questionnaire-f8mc,,41462321,BLIND,12102571,,complete,,673cb09cbc43c3afae56c6ae,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,Headphone Check Pass,,0,Consent_Form_UNC,5,CB36,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
4,1732030803908,19/11/2024 15:40:03,1732012803908,-5,19/11/2024 05:40:03,196386,5,questionnaire-f8mc,,41462321,BLIND,12102571,,complete,,673cb09cbc43c3afae56c6ae,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,Headphone Check Pass,,0,Consent_Form_UNC,5,CB36,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,END,133718,,,,,,
1,1732115290739,20/11/2024 15:08:10,1732097290739,-5,20/11/2024 05:08:10,196386,5,questionnaire-f8mc,,41491083,BLIND,12110559,,complete,,673dfb2493c1b38635fb2e82,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1517x703,Headphone Check Pass,,0,Consent_Form_UNC,5,CB4,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732115619097,20/11/2024 15:13:39,1732097619097,-5,20/11/2024 05:13:39,196386,5,questionnaire-f8mc,,41491083,BLIND,12110559,,complete,,673dfb2493c1b38635fb2e82,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1517x703,Headphone Check Pass,,0,Consent_Form_UNC,5,CB4,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
3,1732115619097,20/11/2024 15:13:39,1732097619097,-5,20/11/2024 05:13:39,196386,5,questionnaire-f8mc,,41491083,BLIND,12110559,,complete,,673dfb2493c1b38635fb2e82,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1517x703,Headphone Check Pass,,0,Consent_Form_UNC,5,CB4,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
4,1732115619098,20/11/2024 15:13:39,1732097619098,-5,20/11/2024 05:13:39,196386,5,questionnaire-f8mc,,41491083,BLIND,12110559,,complete,,673dfb2493c1b38635fb2e82,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1517x703,Headphone Check Pass,,0,Consent_Form_UNC,5,CB4,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,END,328332,,,,,,
1,1732115380132,20/11/2024 15:09:40,1732097380132,-5,20/11/2024 05:09:40,196386,5,questionnaire-f8mc,,41491132,BLIND,12110579,,complete,,673dfb958094011a91333a44,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1366x768,1366x633,Headphone Check Pass,,0,Consent_Form_UNC,5,CB24,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732115502400,20/11/2024 15:11:42,1732097502400,-5,20/11/2024 05:11:42,196386,5,questionnaire-f8mc,,41491132,BLIND,12110579,,complete,,673dfb958094011a91333a44,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1366x768,1366x633,Headphone Check Pass,,0,Consent_Form_UNC,5,CB24,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
3,1732115502401,20/11/2024 15:11:42,1732097502401,-5,20/11/2024 05:11:42,196386,5,questionnaire-f8mc,,41491132,BLIND,12110579,,complete,,673dfb958094011a91333a44,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1366x768,1366x633,Headphone Check Pass,,0,Consent_Form_UNC,5,CB24,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
4,1732115502402,20/11/2024 15:11:42,1732097502402,-5,20/11/2024 05:11:42,196386,5,questionnaire-f8mc,,41491132,BLIND,12110579,,complete,,673dfb958094011a91333a44,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1366x768,1366x633,Headphone Check Pass,,0,Consent_Form_UNC,5,CB24,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,END,122207,,,,,,
1,1732115383816,20/11/2024 15:09:43,1732093783816,-6,20/11/2024 03:09:43,196386,5,questionnaire-f8mc,,41491136,BLIND,12110580,,complete,,673dfba6f003af2bcfac5748,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,Headphone Check Pass,,0,Consent_Form_UNC,5,CB27,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732115416268,20/11/2024 15:10:16,1732093816268,-6,20/11/2024 03:10:16,196386,5,questionnaire-f8mc,,41491136,BLIND,12110580,,complete,,673dfba6f003af2bcfac5748,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,Headphone Check Pass,,0,Consent_Form_UNC,5,CB27,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
3,1732115416269,20/11/2024 15:10:16,1732093816269,-6,20/11/2024 03:10:16,196386,5,questionnaire-f8mc,,41491136,BLIND,12110580,,complete,,673dfba6f003af2bcfac5748,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,Headphone Check Pass,,0,Consent_Form_UNC,5,CB27,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
4,1732115416269,20/11/2024 15:10:16,1732093816269,-6,20/11/2024 03:10:16,196386,5,questionnaire-f8mc,,41491136,BLIND,12110580,,complete,,673dfba6f003af2bcfac5748,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,Headphone Check Pass,,0,Consent_Form_UNC,5,CB27,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,END,32436,,,,,,
1,1732115411979,20/11/2024 15:10:11,1732097411979,-5,20/11/2024 05:10:11,196386,5,questionnaire-f8mc,,41491151,BLIND,12110585,,complete,,673dfbb896a00a4c0e068de8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1800x1169,1437x967,Headphone Check Pass,,0,Consent_Form_UNC,5,CB34,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732115416261,20/11/2024 15:10:16,1732097416261,-5,20/11/2024 05:10:16,196386,5,questionnaire-f8mc,,41491151,BLIND,12110585,,complete,,673dfbb896a00a4c0e068de8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1800x1169,1437x967,Headphone Check Pass,,0,Consent_Form_UNC,5,CB34,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
3,1732115416261,20/11/2024 15:10:16,1732097416261,-5,20/11/2024 05:10:16,196386,5,questionnaire-f8mc,,41491151,BLIND,12110585,,complete,,673dfbb896a00a4c0e068de8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1800x1169,1437x967,Headphone Check Pass,,0,Consent_Form_UNC,5,CB34,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
4,1732115416261,20/11/2024 15:10:16,1732097416261,-5,20/11/2024 05:10:16,196386,5,questionnaire-f8mc,,41491151,BLIND,12110585,,complete,,673dfbb896a00a4c0e068de8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1800x1169,1437x967,Headphone Check Pass,,0,Consent_Form_UNC,5,CB34,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,END,4262,,,,,,
1,1732115416673,20/11/2024 15:10:16,1732093816673,-6,20/11/2024 03:10:16,196386,5,questionnaire-f8mc,,41491153,BLIND,12110586,,complete,,673dfbc36e685e0b7cb2fc1e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1745x866,Headphone Check Pass,,0,Consent_Form_UNC,5,CB8,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732115484306,20/11/2024 15:11:24,1732093884306,-6,20/11/2024 03:11:24,196386,5,questionnaire-f8mc,,41491153,BLIND,12110586,,complete,,673dfbc36e685e0b7cb2fc1e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1745x866,Headphone Check Pass,,0,Consent_Form_UNC,5,CB8,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
3,1732115484306,20/11/2024 15:11:24,1732093884306,-6,20/11/2024 03:11:24,196386,5,questionnaire-f8mc,,41491153,BLIND,12110586,,complete,,673dfbc36e685e0b7cb2fc1e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1745x866,Headphone Check Pass,,0,Consent_Form_UNC,5,CB8,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
4,1732115484307,20/11/2024 15:11:24,1732093884307,-6,20/11/2024 03:11:24,196386,5,questionnaire-f8mc,,41491153,BLIND,12110586,,complete,,673dfbc36e685e0b7cb2fc1e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1745x866,Headphone Check Pass,,0,Consent_Form_UNC,5,CB8,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,END,67581,,,,,,
1,1732115473224,20/11/2024 15:11:13,1732097473224,-5,20/11/2024 05:11:13,196386,5,questionnaire-f8mc,,41491189,BLIND,12110600,,complete,,673dfb4d3978ddb621634341,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1440x900,1440x788,Headphone Check Pass,,0,Consent_Form_UNC,5,CB2,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732115494706,20/11/2024 15:11:34,1732097494706,-5,20/11/2024 05:11:34,196386,5,questionnaire-f8mc,,41491189,BLIND,12110600,,complete,,673dfb4d3978ddb621634341,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1440x900,1440x788,Headphone Check Pass,,0,Consent_Form_UNC,5,CB2,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
3,1732115494706,20/11/2024 15:11:34,1732097494706,-5,20/11/2024 05:11:34,196386,5,questionnaire-f8mc,,41491189,BLIND,12110600,,complete,,673dfb4d3978ddb621634341,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1440x900,1440x788,Headphone Check Pass,,0,Consent_Form_UNC,5,CB2,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
4,1732115494707,20/11/2024 15:11:34,1732097494707,-5,20/11/2024 05:11:34,196386,5,questionnaire-f8mc,,41491189,BLIND,12110600,,complete,,673dfb4d3978ddb621634341,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1440x900,1440x788,Headphone Check Pass,,0,Consent_Form_UNC,5,CB2,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,END,21444,,,,,,
1,1732115707176,20/11/2024 15:15:07,1732097707176,-5,20/11/2024 05:15:07,196386,5,questionnaire-f8mc,,41491343,BLIND,12110638,,complete,,673dfca87f7d4d59a40117e6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Headphone Check Pass,,0,Consent_Form_UNC,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732115714943,20/11/2024 15:15:14,1732097714943,-5,20/11/2024 05:15:14,196386,5,questionnaire-f8mc,,41491343,BLIND,12110638,,complete,,673dfca87f7d4d59a40117e6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Headphone Check Pass,,0,Consent_Form_UNC,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
3,1732115714943,20/11/2024 15:15:14,1732097714943,-5,20/11/2024 05:15:14,196386,5,questionnaire-f8mc,,41491343,BLIND,12110638,,complete,,673dfca87f7d4d59a40117e6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Headphone Check Pass,,0,Consent_Form_UNC,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
4,1732115714943,20/11/2024 15:15:14,1732097714943,-5,20/11/2024 05:15:14,196386,5,questionnaire-f8mc,,41491343,BLIND,12110638,,complete,,673dfca87f7d4d59a40117e6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,Headphone Check Pass,,0,Consent_Form_UNC,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,END,7744,,,,,,
1,1732115975927,20/11/2024 15:19:35,1732097975927,-5,20/11/2024 05:19:35,196386,5,questionnaire-f8mc,,41491535,BLIND,12110685,,complete,,673dfbf3a2509a74041b8cbd,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1116x843,Headphone Check Pass,,0,Consent_Form_UNC,5,CB28,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732115986557,20/11/2024 15:19:46,1732097986557,-5,20/11/2024 05:19:46,196386,5,questionnaire-f8mc,,41491535,BLIND,12110685,,complete,,673dfbf3a2509a74041b8cbd,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1116x843,Headphone Check Pass,,0,Consent_Form_UNC,5,CB28,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
3,1732115986557,20/11/2024 15:19:46,1732097986557,-5,20/11/2024 05:19:46,196386,5,questionnaire-f8mc,,41491535,BLIND,12110685,,complete,,673dfbf3a2509a74041b8cbd,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1116x843,Headphone Check Pass,,0,Consent_Form_UNC,5,CB28,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
4,1732115986557,20/11/2024 15:19:46,1732097986557,-5,20/11/2024 05:19:46,196386,5,questionnaire-f8mc,,41491535,BLIND,12110685,,complete,,673dfbf3a2509a74041b8cbd,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1116x843,Headphone Check Pass,,0,Consent_Form_UNC,5,CB28,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,END,10590,,,,,,
1,1732116149552,20/11/2024 15:22:29,1732098149552,-5,20/11/2024 05:22:29,196386,5,questionnaire-f8mc,,41491650,BLIND,12110713,,complete,,673dfe83f26f68adb58169d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1715x1143,1715x1055,Headphone Check Pass,,0,Consent_Form_UNC,5,CB20,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,,,
2,1732116174766,20/11/2024 15:22:54,1732098174766,-5,20/11/2024 05:22:54,196386,5,questionnaire-f8mc,,41491650,BLIND,12110713,,complete,,673dfe83f26f68adb58169d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1715x1143,1715x1055,Headphone Check Pass,,0,Consent_Form_UNC,5,CB20,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,value,Yes,,Yes|No,consent,2,object-4,,Yes
3,1732116174767,20/11/2024 15:22:54,1732098174767,-5,20/11/2024 05:22:54,196386,5,questionnaire-f8mc,,41491650,BLIND,12110713,,complete,,673dfe83f26f68adb58169d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1715x1143,1715x1055,Headphone Check Pass,,0,Consent_Form_UNC,5,CB20,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,48mr17,1,"If you would like to participate in this study select ""yes"", otherwise select ""no."" ",response,quantised,1,,Yes|No,consent,2,object-4,,Yes
