Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Randomise questionnaire elements?,Question Key,Response
11,1733328112874,04/12/2024 16:01:52,1733328112893,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-6,2
12,1733328112874,04/12/2024 16:01:52,1733328112893,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-7,32
13,1733328112874,04/12/2024 16:01:52,1733328112893,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-8,100%
14,1733328112874,04/12/2024 16:01:52,1733328112893,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-8-quantised,11
15,1733328112874,04/12/2024 16:01:52,1733328112893,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,END QUESTIONNAIRE,36561
1,1733332050299,04/12/2024 17:07:30,1733332072632,-5,04/12/2024 12:07:52,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,BEGIN QUESTIONNAIRE,
2,1733332103859,04/12/2024 17:08:23,1733332126243,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-1,28
3,1733332104000,04/12/2024 17:08:24,1733332126246,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-2,Male
4,1733332104000,04/12/2024 17:08:24,1733332126247,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-2-quantised,1
5,1733332104000,04/12/2024 17:08:24,1733332126247,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3,Southern
6,1733332104000,04/12/2024 17:08:24,1733332126247,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3-quantised,2
7,1733332104000,04/12/2024 17:08:24,1733332126248,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3-text,
8,1733332104000,04/12/2024 17:08:24,1733332126248,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-4,Not Hispanic or Latino
9,1733332104000,04/12/2024 17:08:24,1733332126249,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-4-quantised,2
10,1733332104000,04/12/2024 17:08:24,1733332126249,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-5-5,White
11,1733332104000,04/12/2024 17:08:24,1733332126250,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-6,11
12,1733332104000,04/12/2024 17:08:24,1733332126252,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-7,17
13,1733332104000,04/12/2024 17:08:24,1733332126252,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-8,10%
14,1733332104000,04/12/2024 17:08:24,1733332126253,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-8-quantised,2
15,1733332104000,04/12/2024 17:08:24,1733332126253,-5,04/12/2024 12:08:46,196386,6,questionnaire-w1i9,,41803229,BLIND,12211172,,complete,,675088bc77704847ea338573,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1440x900,1440x685,Headphone Check Pass,,,Demographic Questionnaire,5,CB10,Yes,Pass,Exit,Headphone Check Pass,,,,No,END QUESTIONNAIRE,53621
1,1733332260458,04/12/2024 17:11:00,1733332260281,-5,04/12/2024 12:11:00,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,BEGIN QUESTIONNAIRE,
2,1733332290119,04/12/2024 17:11:30,1733332289277,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-1,24
3,1733332292462,04/12/2024 17:11:32,1733332289279,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-2,Female
4,1733332292462,04/12/2024 17:11:32,1733332289279,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-2-quantised,2
5,1733332292462,04/12/2024 17:11:32,1733332289279,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3,Southern
6,1733332292462,04/12/2024 17:11:32,1733332289279,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3-quantised,2
7,1733332292462,04/12/2024 17:11:32,1733332289279,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3-text,
8,1733332292462,04/12/2024 17:11:32,1733332289279,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-4,Hispanic or Latino
9,1733332292462,04/12/2024 17:11:32,1733332289279,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-4-quantised,1
10,1733332292462,04/12/2024 17:11:32,1733332289279,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-5-5,White
11,1733332292462,04/12/2024 17:11:32,1733332289280,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-6,3
12,1733332292462,04/12/2024 17:11:32,1733332289280,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-7,21
13,1733332292462,04/12/2024 17:11:32,1733332289280,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-8,50%
14,1733332292462,04/12/2024 17:11:32,1733332289280,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-8-quantised,6
15,1733332292462,04/12/2024 17:11:32,1733332289280,-5,04/12/2024 12:11:29,196386,6,questionnaire-w1i9,,41803350,BLIND,12211240,,complete,,67508a5a19afafa5276a9313,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1470x956,1470x832,Headphone Check Pass,,,Demographic Questionnaire,5,CB9,Yes,Pass,Exit,Headphone Check Pass,,,,No,END QUESTIONNAIRE,28999
1,1733333810573,04/12/2024 17:36:50,1733333810362,-8,04/12/2024 09:36:50,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,BEGIN QUESTIONNAIRE,
2,1733333847528,04/12/2024 17:37:27,1733333847346,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-1,29
3,1733333847730,04/12/2024 17:37:27,1733333847347,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-2,Female
4,1733333847730,04/12/2024 17:37:27,1733333847348,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-2-quantised,2
5,1733333847730,04/12/2024 17:37:27,1733333847348,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3,Pacific southwest
6,1733333847730,04/12/2024 17:37:27,1733333847348,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3-quantised,5
7,1733333847730,04/12/2024 17:37:27,1733333847348,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3-text,
8,1733333847730,04/12/2024 17:37:27,1733333847348,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-4,Hispanic or Latino
9,1733333847730,04/12/2024 17:37:27,1733333847348,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-4-quantised,1
10,1733333847730,04/12/2024 17:37:27,1733333847348,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-5-5,White
11,1733333847730,04/12/2024 17:37:27,1733333847348,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-6,4
12,1733333847730,04/12/2024 17:37:27,1733333847348,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-7,10
13,1733333847730,04/12/2024 17:37:27,1733333847349,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-8,30%
14,1733333847730,04/12/2024 17:37:27,1733333847349,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-8-quantised,4
15,1733333847730,04/12/2024 17:37:27,1733333847349,-8,04/12/2024 09:37:27,196386,6,questionnaire-w1i9,,41804232,BLIND,12211266,,complete,,675085b54af6da2fb6535f46,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x812,Headphone Check Pass,,,Demographic Questionnaire,5,CB1,Yes,Pass,Exit,Headphone Check Pass,,,,No,END QUESTIONNAIRE,36987
1,1733334577746,04/12/2024 17:49:37,1733334577863,-5,04/12/2024 12:49:37,196386,6,questionnaire-w1i9,,41804583,BLIND,12211533,,complete,,6750931d377337fd0d89faf1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1366x768,Headphone Check Pass,,,Demographic Questionnaire,5,CB6,Yes,Pass,Exit,Headphone Check Pass,,,,No,BEGIN QUESTIONNAIRE,
2,1733334609333,04/12/2024 17:50:09,1733334609460,-5,04/12/2024 12:50:09,196386,6,questionnaire-w1i9,,41804583,BLIND,12211533,,complete,,6750931d377337fd0d89faf1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1349x768,Headphone Check Pass,,,Demographic Questionnaire,5,CB6,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-1,29
3,1733334609442,04/12/2024 17:50:09,1733334609462,-5,04/12/2024 12:50:09,196386,6,questionnaire-w1i9,,41804583,BLIND,12211533,,complete,,6750931d377337fd0d89faf1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1349x768,Headphone Check Pass,,,Demographic Questionnaire,5,CB6,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-2,Female
4,1733334609442,04/12/2024 17:50:09,1733334609463,-5,04/12/2024 12:50:09,196386,6,questionnaire-w1i9,,41804583,BLIND,12211533,,complete,,6750931d377337fd0d89faf1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1349x768,Headphone Check Pass,,,Demographic Questionnaire,5,CB6,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-2-quantised,2
5,1733334609442,04/12/2024 17:50:09,1733334609463,-5,04/12/2024 12:50:09,196386,6,questionnaire-w1i9,,41804583,BLIND,12211533,,complete,,6750931d377337fd0d89faf1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1349x768,Headphone Check Pass,,,Demographic Questionnaire,5,CB6,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3,New England
